INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('75611136878', 'False', 'Gabriel Assunção-Miranda', '602287761', 'R. Sara Miranda, 89, 3026-272 Tomar', '2023-08-03');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('99468024628', 'False', 'José Almeida', '545474078', 'Avenida Carvalho, 102, 4120-214 Fátima', '1934-06-20');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('84631391737', 'False', 'Juliana Borges', '711844781', 'R. Sérgio Santos, 8, 9401-332 Vizela', '1987-10-19');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('16207770379', 'False', 'Tomás Macedo', '863644931', 'Rua Simões, 36, 3108-171 Portimão', '1929-03-05');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('31187584965', 'False', 'Rodrigo Pinheiro', '619706318', 'Largo Abreu, S/N, 8358-353 Figueira da Foz', '1951-01-08');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('87346165695', 'False', 'Cláudio Lourenço', '578422606', 'Alameda Pinho, S/N, 3436-449 Funchal', '1940-11-25');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('26354719842', 'False', 'Denis Ribeiro', '818049882', 'Largo de Amaral, 946, 4358-432 Torres Vedras', '1996-09-17');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('97799624082', 'False', 'Isaac Carvalho', '319280542', 'Praça Simão Freitas, 18, 5116-680 Freamunde', '2018-06-10');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('59885671228', 'False', 'Margarida Pereira', '156178515', 'Avenida Ferreira, 47, 8700-067 Mirandela', '2012-03-01');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('33906816106', 'False', 'Naiara Branco', '080753730', 'Av Nelson Mendes, S/N, 5928-115 Macedo de Cavaleiros', '1973-01-15');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('51711984372', 'False', 'Tatiana da Carvalho', '061085596', 'Alameda Silva Porto, 11, 7354-356 Tavira', '1965-06-24');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('83248735994', 'False', 'Rui da Almeida', '163778845', 'Praça Kelly Monteiro, 4, 2045-679 Santa Cruz', '1959-04-17');
INSERT INTO paciente (ssn, nif, nome, telefone, morada, data_nasc) VALUES ('25610831731', 'False', 'Kelly Matos', '535062912', 'Rua Anjos, S/N, 5409-527 Guimarães', '1961-07-01');
